,,,i63_index,i11_econ_hist,i12_econ_exp,i21_price_hist,i22_price_exp,i31_job_secure,i32_unemp_exp,i41_fin_pos_hist,i42_fin_pos_exp,i51_save,i52_spend,i53_save_exp
Oktober 72,1972,4,18,0,-9,173,155,-4,,22,30,42,30,
Jan.73,1973,1,9,-7,-16,175,122,14,,32,15,45,7,
Apr.73,1973,2,11,-5,-19,171,130,-7,,27,16,47,18,
Juli 73,1973,3,8,-6,-16,174,121,-3,,17,10,47,19,
Oktober 73,1973,4,-3,-24,-37,175,151,6,,9,6,44,12,
Jan.74,1974,1,-3,-33,-36,185,142,-31,,15,9,39,-2,
Apr.74,1974,2,-11,-60,-54,183,143,-24,,5,2,44,5,
Juli 74,1974,3,-12,-54,-42,181,139,-34,,-4,-3,43,2,
Oktober 74,1974,4,-19,-70,-65,174,136,-69,,-3,3,35,-11,
Jan.75,1975,1,-23,-71,-52,170,109,-93,,2,-7,41,-37,
Apr.75,1975,2,-16,-102,-39,129,51,-94,,0,1,45,-25,
Juli 75,1975,3,-19,-84,-24,101,44,-87,,-6,-7,35,-38,
Oktober 75,1975,4,-17,-97,-42,83,34,-94,,-6,-3,36,-19,
Jan.76,1976,1,-20,-99,-37,61,21,-107,,-15,-8,38,-19,
Apr.76,1976,2,0,-51,13,66,41,-49,,-15,5,36,-3,
Juli 76,1976,3,9,5,32,70,64,-13,,-8,5,32,7,
Oktober 76,1976,4,3,-1,11,61,54,-25,,-7,4,39,2,
Jan.77,1977,1,-11,-40,-18,57,53,-69,,-9,-8,39,-9,
Apr.77,1977,2,6,-2,4,67,63,-24,,2,3,37,14,
Juli 77,1977,3,7,23,18,77,68,13,,0,7,32,5,
Oktober 77,1977,4,2,24,8,75,69,17,,-5,1,29,5,
Jan.78,1978,1,7,13,7,64,56,2,,2,7,38,13,
Apr.78,1978,2,6,12,6,59,60,-6,,3,3,38,13,
Juli 78,1978,3,5,19,-4,52,47,10,,7,8,43,11,
Oktober 78,1978,4,-6,-24,-35,44,56,-75,,-3,4,36,10,
Jan.79,1979,1,3,-8,-15,52,65,-57,,10,7,38,11,
Apr.79,1979,2,9,17,7,76,79,-10,,3,10,44,15,
Juli 79,1979,3,-3,1,-21,89,85,5,,-1,10,37,0,
Oktober 79,1979,4,-4,3,-28,93,91,10,,5,4,49,4,
Jan.80,1980,1,0,11,-19,105,92,25,,9,9,53,1,
Apr.80,1980,2,2,20,-13,106,94,31,,14,6,49,2,
Juli 80,1980,3,0,17,-16,109,90,41,,10,12,46,-6,
Oktober 80,1980,4,-4,1,-30,110,101,10,,7,9,45,0,
Jan.81,1981,1,-5,-4,-32,135,109,3,,7,2,45,4,
Apr.81,1981,2,-14,-24,-37,154,110,4,,-8,-4,38,-5,
Juli 81,1981,3,-15,-22,-42,159,127,3,,-8,-4,36,-7,
Oktober 81,1981,4,-22,-29,-49,166,111,-16,,-18,-7,39,-15,
Jan.82,1982,1,-15,-41,-44,155,92,-70,,-6,0,41,-11,
Apr.82,1982,2,-13,-42,-32,147,87,-78,,-2,0,43,-18,
Juli 82,1982,3,-20,-60,-50,148,108,-88,,-7,-9,43,-15,
Oktober 82,1982,4,-21,-71,-52,134,92,-118,,-11,-4,40,-17,
Jan.83,1983,1,-18,-70,-45,120,68,-120,,-4,-2,36,-22,
Apr.83,1983,2,-3,-47,-5,113,71,-80,,-2,0,42,-6,
Juli 83,1983,3,-8,-45,-15,115,102,-71,,-9,-1,42,-5,
Oktober 83,1983,4,-8,-30,-10,102,86,-78,,-9,1,41,-13,
Jan.84,1984,1,1,-29,4,102,86,-82,,-1,5,50,-3,
Apr.84,1984,2,-2,-26,-5,119,90,-74,,-3,5,42,-6,
Juli 84,1984,3,1,-13,4,114,91,-61,,-1,8,43,-4,
Oktober 84,1984,4,-2,-2,-2,116,94,-39,,-5,5,41,-8,
Jan.85,1985,1,5,0,3,115,96,-49,,5,8,48,4,
Apr.85,1985,2,2,5,6,133,101,-32,,-4,5,46,0,
Juli 85,1985,3,2,8,5,122,93,-18,,-1,6,39,-3,
Oktober 85,1985,4,6,16,7,108,89,2,,2,11,43,6,
Jan.86,1986,1,15,25,18,110,93,1,,14,20,51,8,
Apr.86,1986,2,13,31,16,99,90,22,,12,12,46,11,
Juli 86,1986,3,4,25,8,94,87,17,,0,8,36,2,
Oktober 86,1986,4,8,25,5,88,77,13,,8,13,43,6,
Jan.87,1987,1,9,19,1,72,70,1,,8,13,51,15,
Apr.87,1987,2,8,9,-1,72,65,-9,,13,11,45,10,
Juli 87,1987,3,5,14,-6,84,82,10,,8,13,44,5,
Oktober 87,1987,4,1,7,-11,91,86,-5,,6,11,43,-3,
Jan.88,1988,1,2,-2,-18,88,87,-33,,9,12,49,6,
Apr.88,1988,2,2,-10,-22,98,85,-61,,13,12,43,5,
Juli 88,1988,3,8,11,3,98,86,-40,,9,14,45,4,
Oktober 88,1988,4,8,21,3,94,86,-12,,8,15,49,5,
Jan.89,1989,1,18,38,18,99,101,26,,18,19,53,19,
Apr.89,1989,2,11,27,3,114,104,34,,16,12,47,12,
Juli 89,1989,3,-1,12,-7,128,103,38,,1,4,41,-2,
Oktober 89,1989,4,4,27,11,124,110,41,,0,6,42,-2,
Jan.90,1990,1,-3,-2,-13,158,135,28,,4,1,47,-3,
Apr.90,1990,2,-7,0,-11,157,110,29,,-2,-1,37,-15,
Juli 90,1990,3,-6,-7,-15,150,102,26,,-3,3,42,-8,
Oktober 90,1990,4,-33,-45,-68,160,133,-11,,-21,-18,29,-23,
Jan.91,1991,1,-33,-50,-73,159,125,-50,,-13,-19,36,-29,
Apr.91,1991,2,-19,-54,-32,152,93,-64,,-18,-8,36,-18,
Juli 91,1991,3,-26,-70,-56,156,104,-92,,-13,-12,42,-24,
Oktober 91,1991,4,-34,-92,-61,155,111,-113,,-26,-19,37,-32,
Jan.92,1992,1,-36,-106,-71,150,104,-134,,-23,-21,46,-29,
Apr.92,1992,2,-30,-101,-52,139,86,-130,,-23,-15,31,-32,
Juli 92,1992,3,-34,-106,-56,134,98,-136,,-29,-21,40,-32,
Oktober 92,1992,4,-36,-115,-68,103,74,-149,,-27,-19,42,-31,
Jan.93,1993,1,-32,-102,-62,104,75,-139,,-22,-21,42,-25,
Apr.93,1993,2,-25,-103,-34,99,55,-147,,-29,-10,34,-27,
Juli 93,1993,3,-28,-99,-38,92,57,-147,,-36,-12,34,-27,
Oktober 93,1993,4,-16,-86,-11,70,44,-140,,-28,-8,37,-17,
