Date,Nombre de cas hospitalisés,Nombre de décés
24.02.20,5,
25.02.20,4,
26.02.20,9,
27.02.20,5,
28.02.20,5,
29.02.20,14,
01.03.20,10,
02.03.20,14,
03.03.20,17,
04.03.20,13,
05.03.20,18,2
06.03.20,24,0
07.03.20,8,0
08.03.20,18,1
09.03.20,29,0
10.03.20,42,2
11.03.20,49,3
12.03.20,52,4
13.03.20,56,3
14.03.20,65,5
15.03.20,55,8
16.03.20,120,7
17.03.20,98,12
18.03.20,112,8
19.03.20,110,14
20.03.20,143,21
21.03.20,118,19
22.03.20,135,18
23.03.20,163,23
24.03.20,181,19
25.03.20,200,39
26.03.20,165,38
27.03.20,210,32
28.03.20,123,57
29.03.20,122,46
30.03.20,167,58
31.03.20,126,44
01.04.20,97,57
02.04.20,96,60
03.04.20,75,57
04.04.20,58,56
05.04.20,50,50
06.04.20,71,50
07.04.20,57,57
08.04.20,59,58
09.04.20,58,45
10.04.20,41,52
11.04.20,45,45
12.04.20,33,36
13.04.20,27,36
14.04.20,52,37
15.04.20,32,38
16.04.20,38,38
17.04.20,32,36
18.04.20,14,34
19.04.20,24,22
20.04.20,23,38
21.04.20,19,33
22.04.20,21,27
23.04.20,9,31
24.04.20,13,27
25.04.20,15,25
26.04.20,6,13
27.04.20,13,23
28.04.20,15,12
29.04.20,11,11
30.04.20,4,14
01.05.20,7,12
02.05.20,7,9
03.05.20,7,8
04.05.20,4,9
05.05.20,6,10
06.05.20,3,4
07.05.20,7,12
08.05.20,3,7
09.05.20,2,5
10.05.20,6,7
11.05.20,5,3
12.05.20,1,1
13.05.20,5,1
14.05.20,3,2
15.05.20,3,5
16.05.20,3,1
17.05.20,5,5
18.05.20,3,3
19.05.20,2,4
20.05.20,2,0
21.05.20,3,5
22.05.20,4,1
23.05.20,1,1
24.05.20,0,0
25.05.20,1,2
26.05.20,5,2
27.05.20,0,0
28.05.20,5,0
29.05.20,2,0
30.05.20,3,0
31.05.20,3,0
01.06.20,0,0
02.06.20,0,0
03.06.20,2,0
04.06.20,3,0
05.06.20,0,0
06.06.20,0,1
07.06.20,0,0
08.06.20,1,1
09.06.20,0,0
10.06.20,1,1
11.06.20,1,0
12.06.20,3,1
13.06.20,0,1
14.06.20,1,0
15.06.20,1,0
16.06.20,0,1
17.06.20,2,0
18.06.20,3,0
19.06.20,5,0
20.06.20,6,0
21.06.20,0,1
22.06.20,3,1
23.06.20,3,0
24.06.20,4,0
25.06.20,0,0
26.06.20,5,0
27.06.20,1,0
28.06.20,1,0
29.06.20,5,1
30.06.20,8,0
01.07.20,6,1
02.07.20,5,0
03.07.20,5,0
